date,forecast,lower_ci,upper_ci
2024-01-01,848.8489775060407,722.6666030459394,960.1145756865332
2024-01-02,807.3706548611905,689.2180115530247,927.7098012454469
2024-01-03,731.0823457224138,605.4472742913662,850.2219246648867
2024-01-04,690.805897901646,575.4850100549808,809.9707025147915
2024-01-05,685.627256658606,555.6142280259867,804.987885466639
2024-01-06,742.1443546370166,627.4035538440672,865.4321855651243
2024-01-07,797.3599274893306,685.9819902115318,914.9087709100216
2024-01-08,792.7232761275666,683.9999575291014,911.8174255382901
2024-01-09,742.8018583075241,622.1316433039946,860.487676821447
2024-01-10,659.2922393696346,533.486004604688,778.3140400523197
2024-01-11,613.2086414538796,495.4439162425585,740.153865665314
2024-01-12,603.7906414344976,481.1940803138367,723.4057340751385
2024-01-13,657.7473873827737,532.2025638317228,772.538751209683
2024-01-14,712.1479388886584,594.5055583769102,826.7496227174798
2024-01-15,708.4618064058658,589.7611285741771,836.5251023798894
2024-01-16,661.2305912789808,535.3062376415102,792.5835021804661
2024-01-17,582.080239720763,463.0096724375828,696.6208966137364
2024-01-18,541.9120988327529,422.76555829219296,669.3302895585375
2024-01-19,539.8142407748021,416.40227486109126,658.5646324726605
2024-01-20,602.3103105262602,479.1874267088743,724.9047915012256
2024-01-21,666.2553614905572,539.7447517609722,789.4912722860577
2024-01-22,672.8825905519467,553.0465284828845,790.8672616952653
2024-01-23,636.4816930390033,525.2325148872603,754.1781918949818
2024-01-24,568.4181572978907,440.56717948575255,698.7463487155545
2024-01-25,539.3314866300884,417.5699347400993,656.2131694121298
2024-01-26,548.0536133153655,427.8477600126972,667.389396168461
2024-01-27,620.8645634184571,503.7669562723366,738.8869703685311
2024-01-28,694.3946500664173,580.4886904223091,817.8841193909265
2024-01-29,709.6769355628101,574.0651430292397,829.0566109094839
2024-01-30,680.830531572248,558.6601729749731,796.3178914166064
2024-01-31,619.0839299410724,503.2935348391866,742.9758921358841
2024-02-01,594.9762521852899,475.245026708569,710.4726264111127
2024-02-02,607.2776125902624,483.698715430577,717.2627117700357
2024-02-03,682.2456154169122,558.8711741740398,807.7957273824709
2024-02-04,756.5272579948105,636.9954068092561,877.8651301968935
2024-02-05,771.2100062448709,653.3764020968267,894.0872719694886
2024-02-06,740.502668979772,621.098959890501,864.7242945834599
2024-02-07,675.7553496097155,548.8664233990572,789.1107363604971
2024-02-08,647.6564754447378,526.2344970725085,767.4647924266504
2024-02-09,655.1482342765839,529.5793452909579,766.8726074466836
2024-02-10,724.6775918807083,607.772160328147,846.3241079944333
2024-02-11,793.0923291265135,674.931549705108,903.4849094930414
2024-02-12,801.6860409309998,682.1563882729426,923.4138476731255
2024-02-13,764.8729026649702,640.7101678445381,884.8666295554488
2024-02-14,694.2016602529809,578.1766516623895,817.2961011637038
2024-02-15,660.5470149749897,544.851608071247,783.063851115595
2024-02-16,663.019891794439,540.1372672838795,772.633920610995
2024-02-17,728.2139078356716,603.7435409334117,851.2972989124796
2024-02-18,793.0976025466053,676.1580461124145,921.892116908646
2024-02-19,799.0564711637777,681.1170241666367,915.2123464794001
2024-02-20,760.5656803824285,638.4560639454329,873.0581500137325
2024-02-21,689.2029678571068,573.4065106109388,806.5256135081883
2024-02-22,655.8399130317296,534.8303950555932,774.3640376313051
2024-02-23,659.553055576527,537.2394407800012,775.1473916011029
2024-02-24,726.8721372188777,598.6181563260462,849.8690456174647
2024-02-25,794.6749609020391,684.032044598856,913.5495276412987
2024-02-26,804.2328168566391,680.3965074202664,926.3711513853181
2024-02-27,769.8872410305038,643.3208475083952,891.3522508872336
2024-02-28,703.0674762449063,595.5287515310472,830.8700274892851
2024-02-29,674.4866786027128,551.3802596894315,791.257695518397
2024-03-01,683.0581912248036,556.8723559003639,810.7429738592925
2024-03-02,755.1490023338894,644.2751268821448,878.0556029433764
2024-03-03,827.4797230977753,711.2485845218355,946.5990517232703
2024-03-04,841.1748812211392,725.5174270353892,961.6200944777163
2024-03-05,810.4441516313822,692.5520718573354,925.8907037342116
2024-03-06,746.6037641756017,618.6953417689754,858.391543714531
2024-03-07,720.2760178380031,593.9658726307465,830.077180235977
2024-03-08,730.3081311414066,610.8390982704476,854.2664969228667
2024-03-09,803.0274764998003,688.3863817984242,925.4502395884672
2024-03-10,875.142489663256,757.8386400482109,999.6084061558727
2024-03-11,887.7930320294225,768.3618611735225,1008.1791227077167
2024-03-12,855.2308352726145,730.7503535443817,978.4363908492148
2024-03-13,788.8393021272109,673.3392917185353,900.5860157853054
2024-03-14,759.3306512768974,643.036526015536,886.8364902922046
2024-03-15,765.6617169759026,650.340075664613,889.7524319735824
2024-03-16,834.2855519824928,717.8367912094214,957.4616779842014
2024-03-17,902.0482423760677,789.3008904336584,1027.1208417322496
2024-03-18,910.2348423687672,795.2933812255302,1041.384932910938
2024-03-19,873.245197745749,750.7808667548434,993.9393700942825
2024-03-20,802.6090755029163,685.5167768383478,931.663092156212
2024-03-21,769.178731524442,644.3628432275997,888.7030349165046
2024-03-22,772.0403666154758,647.2047033731229,899.0925920100589
2024-03-23,837.7617507574535,724.7496939688671,955.500490436653
2024-03-24,903.2855431406672,777.2133699010208,1030.0135944220756
2024-03-25,909.9723192481185,797.8289095957363,1027.9644422923052
2024-03-26,872.2741579940221,750.1407919001338,996.7151114193343
2024-03-27,801.748269622866,674.4237471284561,913.4909283999783
2024-03-28,769.2488364048178,635.8547274737845,879.2591736743805
2024-03-29,773.8385326381372,655.2541774178003,885.3871122383833
2024-03-30,842.0369957310531,726.1306272705394,958.0338454419426
